State,Year,Income
District of Columbia,1991,23972
District of Columbia,1992,25455
District of Columbia,1993,26699
District of Columbia,1994,27398
District of Columbia,1995,28033
District of Columbia,1996,29338
District of Columbia,1997,30608
District of Columbia,1998,32327
District of Columbia,1999,33512
District of Columbia,2000,36488
District of Columbia,2001,37711
District of Columbia,2002,39028
District of Columbia,2003,39869
District of Columbia,2004,43367
District of Columbia,2005,45252
District of Columbia,2006,47572
District of Columbia,2007,50377
District of Columbia,2008,51654
District of Columbia,2009,52440
District of Columbia,2010,55622
District of Columbia,2011,57971
District of Columbia,2012,58518
District of Columbia,2013,57654
District of Columbia,2014,60788
Florida,1984,12610
Florida,1985,13259
Florida,1986,13909
Florida,1987,14620
Florida,1988,15724
Florida,1989,17028
Florida,1990,17714
Florida,1991,18125
Florida,1992,18808
Florida,1993,19522
Florida,1994,20082
Florida,1995,21107
Florida,1996,21784
Florida,1997,22365
Florida,1998,23600
Florida,1999,24283
Florida,2000,25759
Florida,2001,26738
Florida,2002,27680
Florida,2003,28974
Florida,2004,30606
Florida,2005,32102
Florida,2006,34207
Florida,2007,35295
Florida,2008,35423
Florida,2009,33921
Florida,2010,35766
Florida,2011,36851
Florida,2012,37719
Florida,2013,36956
Florida,2014,38937
Georgia,1984,10918
Georgia,1985,11617
Georgia,1986,12440
Georgia,1987,13059
Georgia,1988,14076
Georgia,1989,14881
Georgia,1990,15686
Georgia,1991,16225
Georgia,1992,17182
Georgia,1993,17759
Georgia,1994,18618
Georgia,1995,19580
Georgia,1996,20535
Georgia,1997,21213
Georgia,1998,22643
Georgia,1999,23571
Georgia,2000,24907
Georgia,2001,25814
Georgia,2002,26793
Georgia,2003,27762
Georgia,2004,28864
Georgia,2005,29857
Georgia,2006,30859
Georgia,2007,31540
Georgia,2008,31494
Georgia,2009,31221
Georgia,2010,31624
Georgia,2011,33174
Georgia,2012,33802
Georgia,2013,33722
Georgia,2014,35651
Hawaii,1984,13490
Hawaii,1985,14124
Hawaii,1986,14788
Hawaii,1987,15321
Hawaii,1988,16647
Hawaii,1989,18160
Hawaii,1990,19510
Hawaii,1991,20119
Hawaii,1992,21669
Hawaii,1993,22226
Hawaii,1994,22485
Hawaii,1995,22962
Hawaii,1996,22714
Hawaii,1997,23298
Hawaii,1998,23576
Hawaii,1999,24434
Hawaii,2000,25738
Hawaii,2001,26583
Hawaii,2002,27993
Hawaii,2003,29269
Hawaii,2004,30888
Hawaii,2005,32416
Hawaii,2006,34225
Hawaii,2007,35999
Hawaii,2008,37522
Hawaii,2009,37537
Hawaii,2010,38080
Hawaii,2011,38880
Hawaii,2012,39774
Hawaii,2013,39457
Hawaii,2014,41327
Idaho,1984,10324
Idaho,1985,10851
Idaho,1986,11172
Idaho,1987,11709
Idaho,1988,12640
Idaho,1989,13637
Idaho,1990,14407
Idaho,1991,14748
Idaho,1992,15673
Idaho,1993,16641
Idaho,1994,17244
Idaho,1995,18013
Idaho,1996,18687
Idaho,1997,19009
Idaho,1998,20166
Idaho,1999,20873
Idaho,2000,22059
Idaho,2001,22735
Idaho,2002,23749
Idaho,2003,24364
Idaho,2004,25821
Idaho,2005,26365
Idaho,2006,28017
Idaho,2007,29102
Idaho,2008,29499
Idaho,2009,28794
Idaho,2010,29552
Idaho,2011,30635
Idaho,2012,32022
Idaho,2013,32706
Idaho,2014,34121
Illinois,1984,13059
Illinois,1985,13684
Illinois,1986,14431
Illinois,1987,15107
Illinois,1988,16399
Illinois,1989,17360
Illinois,1990,18363
Illinois,1991,18665
Illinois,1992,20072
Illinois,1993,20511
Illinois,1994,21336
Illinois,1995,22416
Illinois,1996,23527
Illinois,1997,24525
Illinois,1998,25673
Illinois,1999,26607
Illinois,2000,28440
Illinois,2001,29602
Illinois,2002,30525
Illinois,2003,31459
Illinois,2004,32709
Illinois,2005,33666
Illinois,2006,35533
Illinois,2007,37143
Illinois,2008,38029
Illinois,2009,37159
Illinois,2010,37988
Illinois,2011,38993
Illinois,2012,40555
Illinois,2013,41065
Illinois,2014,43014
Indiana,1984,11050
Indiana,1985,11625
Indiana,1986,12288
Indiana,1987,12945
Indiana,1988,13824
Indiana,1989,14897
Indiana,1990,15638
Indiana,1991,15996
Indiana,1992,17210
Indiana,1993,17892
Indiana,1994,18753
Indiana,1995,19381
Indiana,1996,20232
Indiana,1997,21018
Indiana,1998,22451
Indiana,1999,23179
Indiana,2000,24664
Indiana,2001,25108
Indiana,2002,25757
Indiana,2003,26543
Indiana,2004,27800
Indiana,2005,28316
Indiana,2006,29589
Indiana,2007,30238
Indiana,2008,31616
Indiana,2009,31309
Indiana,2010,32532
Indiana,2011,34112
Indiana,2012,35752
Indiana,2013,35796
Indiana,2014,37113
Iowa,1984,11616
Iowa,1985,12137
Iowa,1986,12738
Iowa,1987,13344
Iowa,1988,13756
Iowa,1989,14909
Iowa,1990,15602
Iowa,1991,15897
Iowa,1992,17013
Iowa,1993,16919
Iowa,1994,18410
Iowa,1995,19004
Iowa,1996,20634
Iowa,1997,21351
Iowa,1998,22215
Iowa,1999,22685
Iowa,2000,24223
Iowa,2001,24960
Iowa,2002,25969
Iowa,2003,26721
Iowa,2004,28961
Iowa,2005,29563
Iowa,2006,31042
Iowa,2007,32807
Iowa,2008,34725
Iowa,2009,34077
Iowa,2010,34933
Iowa,2011,37052
Iowa,2012,38636
Iowa,2013,38947
Iowa,2014,40100
