State,Year,Income
Rhode Island,1999,24782
Rhode Island,2000,26260
Rhode Island,2001,27518
Rhode Island,2002,29066
Rhode Island,2003,30682
Rhode Island,2004,32182
Rhode Island,2005,32912
Rhode Island,2006,34584
Rhode Island,2007,36070
Rhode Island,2008,36862
Rhode Island,2009,36879
Rhode Island,2010,38786
Rhode Island,2011,39518
Rhode Island,2012,40987
Rhode Island,2013,40340
Rhode Island,2014,41846
South Carolina,1984,9900
South Carolina,1985,10457
South Carolina,1986,11053
South Carolina,1987,11672
South Carolina,1988,12646
South Carolina,1989,13489
South Carolina,1990,14299
South Carolina,1991,14764
South Carolina,1992,15538
South Carolina,1993,16130
South Carolina,1994,16874
South Carolina,1995,17600
South Carolina,1996,18396
South Carolina,1997,19187
South Carolina,1998,20203
South Carolina,1999,20908
South Carolina,2000,22199
South Carolina,2001,22782
South Carolina,2002,23624
South Carolina,2003,24399
South Carolina,2004,25488
South Carolina,2005,26419
South Carolina,2006,27815
South Carolina,2007,29017
South Carolina,2008,30002
South Carolina,2009,29497
South Carolina,2010,30235
South Carolina,2011,31434
South Carolina,2012,32854
South Carolina,2013,32727
South Carolina,2014,34564
South Dakota,1984,11048
South Dakota,1985,11284
South Dakota,1986,11822
South Dakota,1987,12410
South Dakota,1988,12909
South Dakota,1989,13863
South Dakota,1990,15115
South Dakota,1991,15618
South Dakota,1992,16676
South Dakota,1993,17120
South Dakota,1994,18334
South Dakota,1995,18426
South Dakota,1996,20310
South Dakota,1997,20460
South Dakota,1998,22021
South Dakota,1999,22834
South Dakota,2000,24265
South Dakota,2001,25015
South Dakota,2002,25312
South Dakota,2003,27908
South Dakota,2004,29826
South Dakota,2005,31256
South Dakota,2006,32362
South Dakota,2007,35492
South Dakota,2008,37772
South Dakota,2009,36968
South Dakota,2010,38681
South Dakota,2011,41413
South Dakota,2012,41814
South Dakota,2013,41737
South Dakota,2014,43309
Tennessee,1984,10362
Tennessee,1985,10972
Tennessee,1986,11699
Tennessee,1987,12430
Tennessee,1988,13460
Tennessee,1989,14304
Tennessee,1990,15129
Tennessee,1991,15736
Tennessee,1992,16930
Tennessee,1993,17691
Tennessee,1994,18430
Tennessee,1995,19406
Tennessee,1996,20051
Tennessee,1997,20856
Tennessee,1998,22556
Tennessee,1999,23182
Tennessee,2000,24367
Tennessee,2001,24772
Tennessee,2002,25758
Tennessee,2003,26867
Tennessee,2004,28219
Tennessee,2005,29027
Tennessee,2006,30184
Tennessee,2007,31101
Tennessee,2008,32127
Tennessee,2009,32261
Tennessee,2010,33498
Tennessee,2011,34963
Tennessee,2012,36518
Tennessee,2013,36320
Tennessee,2014,37421
Texas,1984,12061
Texas,1985,12786
Texas,1986,12993
Texas,1987,13146
Texas,1988,13976
Texas,1989,14722
Texas,1990,15646
Texas,1991,16120
Texas,1992,17156
Texas,1993,17741
Texas,1994,18322
Texas,1995,19149
Texas,1996,20052
Texas,1997,21266
Texas,1998,22627
Texas,1999,23509
Texas,2000,25024
Texas,2001,26294
Texas,2002,26815
Texas,2003,27715
Texas,2004,28690
Texas,2005,30233
Texas,2006,32160
Texas,2007,33367
Texas,2008,35692
Texas,2009,34445
Texas,2010,35953
Texas,2011,38238
Texas,2012,40288
Texas,2013,40449
Texas,2014,42644
Utah,1984,9875
Utah,1985,10406
Utah,1986,10800
Utah,1987,11172
Utah,1988,11824
Utah,1989,12584
Utah,1990,13286
Utah,1991,13941
Utah,1992,14609
Utah,1993,15208
Utah,1994,15841
Utah,1995,16738
Utah,1996,17724
Utah,1997,18649
Utah,1998,19481
Utah,1999,20164
Utah,2000,21186
Utah,2001,21900
Utah,2002,22598
Utah,2003,23317
Utah,2004,24468
Utah,2005,25807
Utah,2006,27752
Utah,2007,29258
Utah,2008,30297
Utah,2009,29018
Utah,2010,29399
Utah,2011,30931
Utah,2012,32465
Utah,2013,32639
Utah,2014,34072
Vermont,1984,11053
Vermont,1985,11842
Vermont,1986,12584
Vermont,1987,13386
Vermont,1988,14441
Vermont,1989,15677
Vermont,1990,16108
Vermont,1991,16422
Vermont,1992,17517
Vermont,1993,18034
Vermont,1994,18739
Vermont,1995,19561
Vermont,1996,20318
Vermont,1997,21136
Vermont,1998,22559
Vermont,1999,23642
Vermont,2000,25338
Vermont,2001,27015
Vermont,2002,27941
Vermont,2003,29331
Vermont,2004,30987
Vermont,2005,31350
Vermont,2006,33076
Vermont,2007,34623
Vermont,2008,36682
Vermont,2009,37161
Vermont,2010,38284
Vermont,2011,39858
Vermont,2012,41167
Vermont,2013,41223
Vermont,2014,42849
Virginia,1984,12932
Virginia,1985,13717
Virginia,1986,14558
Virginia,1987,15282
Virginia,1988,16542
Virginia,1989,17574
Virginia,1990,18255
Virginia,1991,18873
Virginia,1992,19780
Virginia,1993,20440
Virginia,1994,21173
Virginia,1995,21972
Virginia,1996,22684
Virginia,1997,23782
Virginia,1998,24857
Virginia,1999,26061
Virginia,2000,27844
Virginia,2001,29006
Virginia,2002,30202
Virginia,2003,31997
Virginia,2004,33810
Virginia,2005,35240
Virginia,2006,37023
Virginia,2007,38557
Virginia,2008,39698
Virginia,2009,39463
Virginia,2010,40631
Virginia,2011,41982
Virginia,2012,43716
Virginia,2013,42579
Virginia,2014,44083
Washington,1984,13028
Washington,1985,13645
Washington,1986,14426
Washington,1987,14890
Washington,1988,15906
Washington,1989,17006
Washington,1990,18027
Washington,1991,18935
Washington,1992,19962
Washington,1993,20585
Washington,1994,21183
Washington,1995,21935
Washington,1996,23014
Washington,1997,24160
Washington,1998,25728
Washington,1999,26537
Washington,2000,28257
Washington,2001,29060
Washington,2002,29852
Washington,2003,31116
Washington,2004,33274
Washington,2005,33834
Washington,2006,35984
Washington,2007,38250
Washington,2008,39846
Washington,2009,38370
Washington,2010,38908
Washington,2011,40089
Washington,2012,43030
Washington,2013,43055
Washington,2014,45652
West Virginia,1984,9237
West Virginia,1985,9721
West Virginia,1986,10122
West Virginia,1987,10500
West Virginia,1988,11451
West Virginia,1989,12191
West Virginia,1990,13073
West Virginia,1991,13632
West Virginia,1992,14701
West Virginia,1993,15160
West Virginia,1994,15740
West Virginia,1995,16219
West Virginia,1996,16844
West Virginia,1997,17524
West Virginia,1998,18272
West Virginia,1999,18802
West Virginia,2000,19945
West Virginia,2001,21205
West Virginia,2002,22265
West Virginia,2003,22700
West Virginia,2004,23581
West Virginia,2005,24552
West Virginia,2006,26067
West Virginia,2007,26848
West Virginia,2008,28418
West Virginia,2009,29058
West Virginia,2010,30011
West Virginia,2011,31313
West Virginia,2012,32323
West Virginia,2013,31994
West Virginia,2014,33080
Wisconsin,1984,11739
Wisconsin,1985,12337
Wisconsin,1986,12995
Wisconsin,1987,13569
Wisconsin,1988,14312
Wisconsin,1989,15464
Wisconsin,1990,16162
Wisconsin,1991,16632
Wisconsin,1992,17742
Wisconsin,1993,18418
Wisconsin,1994,19334
Wisconsin,1995,20097
Wisconsin,1996,20934
Wisconsin,1997,21934
Wisconsin,1998,23223
Wisconsin,1999,24023
Wisconsin,2000,25484
Wisconsin,2001,26741
Wisconsin,2002,27841
Wisconsin,2003,28723
Wisconsin,2004,29968
Wisconsin,2005,30648
Wisconsin,2006,32139
Wisconsin,2007,33400
Wisconsin,2008,34479
Wisconsin,2009,34530
Wisconsin,2010,35413
Wisconsin,2011,36855
Wisconsin,2012,38468
Wisconsin,2013,38175
Wisconsin,2014,39755
Wyoming,1984,12212
Wyoming,1985,12882
Wyoming,1986,13075
Wyoming,1987,13014
Wyoming,1988,13597
Wyoming,1989,14956
Wyoming,1990,16286
Wyoming,1991,16945
Wyoming,1992,17659
Wyoming,1993,18359
Wyoming,1994,18891
Wyoming,1995,19611
Wyoming,1996,19960
Wyoming,1997,21265
Wyoming,1998,22514
Wyoming,1999,24012
Wyoming,2000,25645
Wyoming,2001,27384
Wyoming,2002,28622
Wyoming,2003,30636
Wyoming,2004,32888
Wyoming,2005,35337
Wyoming,2006,39194
Wyoming,2007,40569
Wyoming,2008,43947
Wyoming,2009,40979
Wyoming,2010,42508
Wyoming,2011,46125
Wyoming,2012,48368
Wyoming,2013,47898
Wyoming,2014,51573
